,Car Name,link,Price,KMS Covered,Colour
110,2022 Audi Q5 PROGRESSIV,https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-audi-q5-8567945/,"$67,944",90KM,"['Daytona', 'Gray', 'Pearl']"
111,2022 Audi Q5 PROGRESSIV,https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-audi-q5-8567936/,"$65,444",90KM,"['Glacier', 'White', 'Metallic']"
112,2022 Audi A3 Sedan Progressiv | S-Line Package | LED Headlights | DEMO,https://www.carpages.ca/used-cars/manitoba/winnipeg/2022-audi-a3-8567927/,"$56,000",540KM,"['Glacier', 'White', 'Metallic']"
113,2012 Ford Escape Limited,https://www.carpages.ca/used-cars/ontario/mississauga/2012-ford-escape-8567843/,"$3,995","304,426KM","['Steel', 'Blue', 'Metallic']"
114,2022 Ford Escape SE Hybrid AWD  - Navigation - Power Liftgate - $298 B/W,https://www.carpages.ca/new-cars/british-columbia/fort-st-john/2022-ford-escape-8567684/,"$41,694",CALL,"['Atlas', 'Blue', 'Metallic']"
115,2022 Ford Escape Titanium Hybrid AWD  - Leather Seats,https://www.carpages.ca/new-cars/manitoba/selkirk/2022-ford-escape-8567612/,"$45,943",10KM,"['Stone', 'Blue', 'Metallic']"
116,2019 Chevrolet Bolt EV LT  - Heated Seats - $277 B/W,https://www.carpages.ca/used-cars/ontario/nepean/2019-chevrolet-bolt-8567573/,"$38,999","45,021KM",['White']
117,2022 Ford MACH-E PREMIUM,https://www.carpages.ca/new-cars/alberta/grimshaw/2022-ford-mach-e-8567054/,"$74,840",5KM,"['Grabber', 'Blue', 'Metallic']"
118,"2022 Tesla Model 3 , AutoPilot, Pano Roof, Navi, 438 Km Range (est.)",https://www.carpages.ca/used-cars/ontario/clarington/2022-tesla-model-3-8567015/,"$73,995","4,428KM","['Pearl', 'White', 'Multi-Coat']"
119,"2022 Tesla Model Y Long Range AWD, AutoPilot, 531 Km Range (est)",https://www.carpages.ca/used-cars/ontario/brampton/2022-tesla-model-y-8566853/,"$99,995","3,597KM","['Deep', 'Blue', 'Metallic']"
120,2021 Tesla Model Y LONG RANGE LOCAL,https://www.carpages.ca/used-cars/british-columbia/richmond/2021-tesla-model-y-8566691/,"$98,414","17,600KM","['Solid', 'Black']"
121,2022 Ford F-150 ,https://www.carpages.ca/new-cars/alberta/edmonton/2022-ford-f-150-8565152/,"$99,335",20KM,['Black']
122,2018 Toyota RAV4 Hybrid SE No Accident | One Owner,https://www.carpages.ca/used-cars/manitoba/winnipeg/2018-toyota-rav4-8565128/,"$39,992","45,510KM","['Black', 'Sand', 'Pearl']"
123,2022 Ford F-150 Limited FACTORY ORDER - ARRIVING SOON | 900A | 3.5L POWERBOOST FULL-HYBRID |  TWIN PANEL MOONROOF |,https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-ford-f-150-8564867/,"$98,405",10KM,"['Space', 'White', 'Metallic']"
124,2022 Ford F-150 Limited FACTORY ORDER - ARRIVING SOON | 900A |  FORD CO-PILOT360™ACTIVE2.0 |  TWIN PANEL MOONROOF |,https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-ford-f-150-8564864/,"$98,405",10KM,"['Antimatter', 'Blue', 'Metallic']"
125,2022 Kia NIRO EX,https://www.carpages.ca/new-cars/ontario/hamilton/2022-kia-niro-8564324/,"$33,155",CALL,['Blue']
126,2022 Kia NIRO PLUG-IN Hybrid EX,https://www.carpages.ca/new-cars/ontario/hamilton/2022-kia-niro-8564318/,"$39,355",CALL,['Blue']
127,2022 Toyota RAV4 Hybrid XLE,https://www.carpages.ca/new-cars/ontario/ancaster/2022-toyota-rav4-8564219/,"$36,937",11KM,['White']
128,2022 Toyota RAV4 Hybrid LE,https://www.carpages.ca/new-cars/ontario/ancaster/2022-toyota-rav4-8564204/,"$33,937",10KM,['Black']
