,Link,Job Title,Company Name,Experience,Salary,Location,Description,Skills Required
61,https://www.naukri.com/job-listings-bi-and-data-analyst-domo-ignitho-technologies-india-private-ltd-chennai-bangalore-bengaluru-4-to-8-years-270522003633?src=jobsearchDesk&sid=16537441348911514&xp=2&px=4,BI and Data Analyst (DOMO),Ignitho,4-8 Yrs,Not disclosed,"Chennai, Bangalore/Bengaluru"," Experienced working with technology or a related field, with experiences preferred in o...","['domo', 'data analysis', 'SQL', 'PowerBI', 'Tableau', 'data warehouses', 'BI', 'data lakes']"
62,https://www.naukri.com/job-listings-data-analyst-data-mining-lululemon-talent500-tech-india-private-limited-bangalore-bengaluru-5-to-8-years-260522008251?src=jobsearchDesk&sid=16537441348911514&xp=3&px=4,Data Analyst - Data Mining | Lululemon,TALENT500 TECH (INDIA) PRIVATE LIMITED,5-8 Yrs,Not disclosed,Bangalore/Bengaluru, Who we are? lululemon is a yoga-inspired technical apparel company up to big things. Th...,['Data Mining']
63,https://www.naukri.com/job-listings-data-analyst-rws-moravia-india-private-limited-indore-bangalore-bengaluru-mumbai-all-areas-3-to-6-years-260522007757?src=jobsearchDesk&sid=16537441348911514&xp=4&px=4,Data Analyst,RWS Moravia,3-6 Yrs,Not disclosed,"Indore, Bangalore/Bengaluru, Mumbai (All Areas)", Experience coordinating information requirements from across multiple systemsProven exp...,"['SQL Server Reporting Services', 'ETL Techniques', 'Data Analysis']"
64,https://www.naukri.com/job-listings-lead-analyst-product-revenue-data-analyst-zscaler-inc-gurgaon-gurugram-3-to-10-years-270522500737?src=jobsearchDesk&sid=16537441348911514&xp=5&px=4,"Lead Analyst, Product Revenue (Data Analyst)",Zscaler Softech,3-10 Yrs,Not disclosed,Gurgaon/Gurugram, Bachelors or master s degree in Computer Science/ Management/ Statistics or related fie...,"['Computer science', 'Product management', 'tableau', 'Manager Technology', 'Data analytics', 'Data Analyst', 'Lead Analyst', 'SQL']"
65,https://www.naukri.com/job-listings-data-analyst-sierentz-global-merchants-india-pvt-ltd-gurgaon-gurugram-7-to-12-years-260522010762?src=jobsearchDesk&sid=16537441348911514&xp=6&px=4,Data Analyst,Sierentz Global Merchants India Pvt Ltd,7-12 Yrs,Not disclosed,Gurgaon/Gurugram," Experience with databases, preferably PostgreSQLNo outsourcing to other companies (in-h...","['Python Data Analytics', 'Data Analysis', 'machine learning']"
66,https://www.naukri.com/job-listings-data-analyst-product-bold-technology-systems-private-limited-noida-3-to-6-years-111121000505?src=jobsearchDesk&sid=16537441348911514&xp=7&px=4,Data Analyst- Product,BOLD Technology Systems,3-6 Yrs,Not disclosed,Noida," Experience in performing quantitative analysis, preferably for an internet or technolog...","['Google Analytics', 'A/B Testing', 'Data Analysis', 'SQL Server', 'Data Analytics', 'IT Skills', 'Python', 'Tableau']"
67,https://www.naukri.com/job-listings-data-analyst-business-analyst-freshers-freelancer-varsha-abhijeet-kakde-pune-0-to-2-years-240522007064?src=jobsearchDesk&sid=16537441348911514&xp=8&px=4,Data Analyst & Business Analyst Freshers,Freelancer Varsha Abhijeet Kakde  ,0-2 Yrs,"2,75,000 - 5,50,000 PA.",Pune, A Data Analyst interprets data and turns it into information which can offer ways to im...,"['Data Science', 'Algorithms', 'Data Management And Analysis', 'Business Analysis', 'SQL', 'Business Consulting', 'core and advance python programming', 'Data Management']"
68,https://www.naukri.com/job-listings-data-analyst-data-visualization-reporting-global-employees-kolkata-hyderabad-secunderabad-pune-ahmedabad-bangalore-bengaluru-delhi-ncr-5-to-10-years-160522901599?src=jobsearchDesk&sid=16537441348911514&xp=9&px=4,Data Analyst - Data Visualization & Reporting,Global Employees,5-10 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Bangalore/Bengaluru, Delhi / NCR", build solutions to have the maximum scale and self-service ability by partners Must be ...,"['DATA ANALYST', 'IT Skills', 'Testing', 'Tableau', 'BI Reporting', 'Business Intelligence', 'Work From Home', 'Power BI']"
69,https://www.naukri.com/job-listings-data-analyst-data-analytics-business-analyst-sql-python-sas-leading-us-mnc-into-analytics-gurgaon-gurugram-bangalore-bengaluru-delhi-ncr-2-to-7-years-130522000828?src=jobsearchDesk&sid=16537441348911514&xp=10&px=4,data analyst/ data analytics / Business analyst- SQL/Python/SAS,Leading US MNC into Analytics,2-7 Yrs,"10,00,000 - 20,00,000 PA.","Gurgaon/Gurugram, Bangalore/Bengaluru, Delhi / NCR(WFH during Covid)", Preference: immediate joiners or who can join in 15 days,"['sql', 'python', 'data analytics', 'data analysis', 'SAS']"
70,https://www.naukri.com/job-listings-sr-data-analyst-role-bridge-waves-kolkata-4-to-9-years-260522008275?src=jobsearchDesk&sid=16537441348911514&xp=11&px=4,Sr Data Analyst role,BRIDGE WAVES ,4-9 Yrs,"5,00,000 - 12,00,000 PA.",Kolkata, requirement for post of Sr Data analyst role with skills: min relevant exp 3 years plus...,"['SQL', 'tableau', 'MS excel', 'analytics', 'IT Skills', 'Data Management', 'Data Analytics']"
71,https://www.naukri.com/job-listings-data-analyst-2-paypal-holdings-inc-bangalore-bengaluru-1-to-3-years-240522500424?src=jobsearchDesk&sid=16537441348911514&xp=12&px=4,Data Analyst 2,PayPal,1-3 Yrs,Not disclosed,Bangalore/Bengaluru," We re looking for a data-driven, outcome-focused, and high performing Data Analyst/Scie...","['Unix', 'Mining', 'Data analysis', 'Analytical', 'Manager Technology', 'Data Analyst', 'Analytics', 'Financial services']"
72,https://www.naukri.com/job-listings-data-analyst-zolo-stays-bangalore-bengaluru-5-to-10-years-240522501548?src=jobsearchDesk&sid=16537441348911514&xp=13&px=4,Data Analyst,Zolostays,5-10 Yrs,Not disclosed,Bangalore/Bengaluru," You have prior experience as a Python Developer Good knowledge Django, Flask or similar...","['Computer science', 'Front end', 'Testing tools', 'Django', 'Analytical', 'Javascript', 'Data Analyst', 'Python']"
73,https://www.naukri.com/job-listings-title-data-analyst-analytics-location-bangalore-kennametal-shared-services-pvt-ltd-bangalore-bengaluru-3-to-5-years-190522005832?src=jobsearchDesk&sid=16537441348911514&xp=14&px=4,"Job Title: Data Analyst Analytics
Location: Bangalore 
",Kennametal Shared Services Pvt Ltd  ,3-5 Yrs,Not disclosed,Bangalore/Bengaluru(Whitefield), Job Summary: About the Role.Analyst Analytics has a strong technical background in the ...,"['SAP SQL', 'Data Warehouse Testing', 'sap hana', 'ETL Tool']"
74,https://www.naukri.com/job-listings-reference-and-pricing-data-analyst-saxo-india-pvt-ltd-gurgaon-gurugram-3-to-6-years-250522500553?src=jobsearchDesk&sid=16537441348911514&xp=15&px=4,Reference and Pricing Data Analyst,SAXO INDIA PVT. LTD.,3-6 Yrs,Not disclosed,Gurgaon/Gurugram, Experience in instrument and pricing data management,"['Service management', 'Operations Security', 'Data management', 'Enterprise architecture', 'Banking', 'Infrastructure', 'Business management', 'market data']"
75,https://www.naukri.com/job-listings-data-analyst-policy-esdm-new-delhi-nisg-national-institute-for-smart-government-new-delhi-4-to-9-years-240522001339?src=jobsearchDesk&sid=16537441348911514&xp=16&px=4,Data Analyst - Policy -ESDM- New Delhi,NISG (National Institute for Smart Government),4-9 Yrs,Not disclosed,New Delhi, Roles and Responsibilities Role: - Assisting in evidence-based policy design for electr...,"['Data Science', 'Business Intelligence', 'SAS', 'Data Analysis', 'Knime', 'Tableau', 'Data Analytics', 'Econometrics']"
76,https://www.naukri.com/job-listings-associate-data-analyst-neustar-inc-hyderabad-secunderabad-5-to-7-years-210522500321?src=jobsearchDesk&sid=16537441348911514&xp=17&px=4,Associate Data Analyst,Neustar,5-7 Yrs,Not disclosed,Hyderabad/Secunderabad," We are looking for an Associate Data Analyst to bring big data, marketing analytics, an...","['IT Skills', 'Python', 'Big Data', 'AWS', 'Digital Marketing', 'Tableau', 'Data analysis', 'Interpersonal skills']"
77,https://www.naukri.com/job-listings-business-analyst-data-shell-india-markets-private-limited-bangalore-bengaluru-3-to-6-years-270522904294?src=jobsearchDesk&sid=16537441348911514&xp=18&px=4,Business Analyst - Data,Shell,3-6 Yrs,Not disclosed,Bangalore/Bengaluru, Proficient in Data analysis8 yrs of experience with proficiency in Data analysisExpert ...,"['Data analysis', 'MS Azure', 'Data Lakes', 'Site Operation', 'Wet Stock Business', 'NFR', 'Loyalty']"
78,https://www.naukri.com/job-listings-business-data-analyst-shiprocket-delhi-ncr-2-to-4-years-230522909879?src=jobsearchDesk&sid=16537441348911514&xp=19&px=4,Business/Data Analyst,Shiprocket,2-4 Yrs,Not disclosed,Delhi / NCR, Candidate should be able to work on large data sets spread across various in-house prod...,"['Data Analysis', 'communication', 'Data mining', 'IT Skills', 'Machine Learning', 'Business Analytics', 'Data Manipulation', 'Finance']"
