,Link,Title,Category,Price,SaLe Price,Discount
51,https://www.nike.com/in/t/air-presto-shoes-QdhgZW/CT3550-001,Nike Air Presto,Men's Shoes,"11,495","9,197",19.99%
52,https://www.nike.com/in/t/zoom-004-mmw-shoe-f9gPnw/CU0676-201,Nike Zoom 004 X MMW,Shoe,"35,995","28,797",20.00%
53,https://www.nike.com/in/t/lebron-18-dynasty-basketball-shoes-JNqV61/CQ9283-006,LeBron 18 'Dynasty',Basketball Shoes,"17,595","14,077",19.99%
54,https://www.nike.com/in/t/paris-saint-germain-strike-dri-fit-football-tracksuit-gX6BLR/DB6874-026,Paris Saint-Germain Strike,Men's Nike Dri-FIT Football Tracksuit,"6,995","5,597",19.99%
55,https://www.nike.com/in/t/zoom-fly-4-road-running-shoes-Jx98CR/DO2421-739,Nike Zoom Fly 4,Road Running Shoes,"15,995","12,797",19.99%
56,https://www.nike.com/in/t/acg-trolls-short-sleeve-t-shirt-nH5rvQ/DJ5808-817,Nike ACG 'Trolls',Men's Short-Sleeve T-Shirt,"2,195","1,757",19.95%
57,https://www.nike.com/in/t/sportswear-t-shirt-8gPsBX/DD3350-437,Nike Sportswear,Men's T-Shirt,"1,795","1,437",19.94%
58,https://www.nike.com/in/t/sportswear-style-essentials-unlined-cropped-trousers-S14LQP/DD7033-010,Nike Sportswear Style Essentials,Men's Unlined Cropped Trousers,"3,995","3,197",19.97%
59,https://www.nike.com/in/t/zion-tracksuit-top-cr0fqD/DJ5881-010,Zion,Men's Tracksuit Top,"8,995","7,197",19.99%
60,https://www.nike.com/in/t/flow-2020-ispa-shoes-TGfS4n/DM2832-001,Nike Flow 2020 ISPA,Men's Shoes,"16,595","13,277",19.99%
61,https://www.nike.com/in/t/pegasus-trail-3-gore-tex-waterproof-trail-running-shoes-ZKmC2v/DC8793-800,Nike Pegasus Trail 3 GORE-TEX,Men's Waterproof Trail Running Shoes,"14,495","11,597",19.99%
62,https://www.nike.com/in/t/jordan-mountainside-long-sleeve-t-shirt-sQtBws/DC9785-010,Jordan Mountainside,Men's Long-Sleeve T-Shirt,"2,495","1,997",19.96%
63,https://www.nike.com/in/t/fc-barcelona-2021-22-stadium-away-football-shirt-cvf2vn/CV7890-581,F.C. Barcelona 2021/22 Stadium Away,Men's Football Shirt,"4,695","3,757",19.98%
64,https://www.nike.com/in/t/paris-saint-germain-dri-fit-pre-match-football-top-f4mXt7/DB7626-015,Paris Saint-Germain,Men's Nike Dri-FIT Pre-Match Football Top,"3,695","2,957",19.97%
65,https://www.nike.com/in/t/paris-saint-germain-strike-dri-fit-knit-football-pants-1rtT5S/DB6928-025,Paris Saint-Germain Strike,Men's Nike Dri-FIT Knit Football Pants,"3,995","3,197",19.97%
66,https://www.nike.com/in/t/jordan-dri-fit-air-statement-fleece-pullover-hoodie-fmt5dJ/DA9849-010,Jordan Dri-FIT Air,Men's Statement Fleece Pullover Hoodie,"4,495","3,597",19.98%
67,https://www.nike.com/in/t/sportswear-french-terry-pullover-hoodie-BKgCPM/DQ5254-060,Nike Sportswear,Men's French Terry Pullover Hoodie,"3,695","2,957",19.97%
68,https://www.nike.com/in/t/jordan-jumpman-jacket-Wz6mwH/DJ0242-241,Jordan Jumpman,Men's Jacket,"8,995","7,197",19.99%
69,https://www.nike.com/in/t/dri-fit-sport-clash-training-hoodie-FTj11w/DM8132-010,Nike Dri-FIT Sport Clash,Men's Training Hoodie,"3,995","3,197",19.97%
70,https://www.nike.com/in/t/paris-saint-germain-fleece-pullover-hoodie-JRZFKZ/DJ0395-051,Paris Saint-Germain,Men's Fleece Pullover Hoodie,"4,295","3,437",19.98%
71,https://www.nike.com/in/t/dri-fit-wild-run-flex-stride-brief-lined-running-shorts-ZbMqLh/DM4663-565,Nike Dri-FIT Wild Run Flex Stride,Men's Brief-Lined Running Shorts,"3,095","2,477",19.97%
72,https://www.nike.com/in/t/zoomx-vaporfly-next-gyakusou-running-shoes-1zQ19K/CT4894-600,Nike ZoomX Vaporfly Next% x Gyakusou,Running Shoes,"24,995","19,997",20.00%
73,https://www.nike.com/in/t/air-zoom-tempo-next-road-running-shoes-chNfdw/CI9923-007,Nike Air Zoom Tempo NEXT%,Men's Road Running Shoes,"17,595","14,077",19.99%
74,https://www.nike.com/in/t/los-angeles-lakers-city-edition-dri-fit-nba-swingman-shorts-0FFjHC/DB4138-504,Los Angeles Lakers City Edition,Men's Nike Dri-FIT NBA Swingman Shorts,"3,995","3,197",19.97%
75,https://www.nike.com/in/t/aeroswift-running-singlet-mcbr2n/CJ7836-100,Nike AeroSwift,Men's Running Singlet,"3,995","3,197",19.97%
76,https://www.nike.com/in/t/kawhi-leonard-clippers-icon-edition-2020-nba-swingman-jersey-0KknPV/CW3668-402,Kawhi Leonard Clippers Icon Edition 2020,Nike NBA Swingman Jersey,"4,995","3,997",19.98%
77,https://www.nike.com/in/t/dri-fit-run-division-challenger-woven-running-trousers-rzMfb8/DD6004-652,Nike Dri-FIT Run Division Challenger,Men's Woven Running Trousers,"3,995","3,197",19.97%
78,https://www.nike.com/in/t/liverpool-fc-2021-22-match-third-dri-fit-adv-football-shirt-BDjgCc/DB5889-704,Liverpool F.C. 2021/22 Match Third,Men's Nike Dri-FIT ADV Football Shirt,"7,995","6,397",19.99%
79,https://www.nike.com/in/t/los-angeles-lakers-city-edition-dri-fit-nba-swingman-jersey-W4m3x8/DB4032-505,Los Angeles Lakers City Edition,Nike Dri-FIT NBA Swingman Jersey,"6,495","5,197",19.98%
80,https://www.nike.com/in/t/jordan-jumpman-fleece-pullover-hoodie-psqRq3/DC9604-097,Jordan Jumpman,Men's Fleece Pullover Hoodie,"3,995","3,197",19.97%
81,https://www.nike.com/in/t/liverpool-fc-strike-short-sleeve-football-top-zN70MS/DB0268-392,Liverpool F.C. Strike,Men's Short-Sleeve Football Top,"2,495","1,997",19.96%
