,Link,Job Title,Company Name,Experience,Salary,Location,Description,Skills Required
188,https://www.naukri.com/job-listings-core-banking-fundamentals-business-analyst-accenture-solutions-pvt-ltd-bangalore-bengaluru-6-to-8-years-160522906603?src=jobsearchDesk&sid=16539119013365353&xp=9&px=10,Core Banking Fundamentals Business Analyst,Accenture,6-8 Yrs,Not disclosed,Bangalore/Bengaluru, Project Role : Business Analyst Project Role Description : Analyze an organization and ...,"['Business process', 'Process design', 'risk compliance', 'Consulting', 'Core banking', 'communication', 'Retail banking']"
189,https://www.naukri.com/job-listings-business-analyst-24-7-customer-private-ltd-bangalore-bengaluru-1-to-3-years-160522500221?src=jobsearchDesk&sid=16539119013365353&xp=10&px=10,Business Analyst,24 7 ai,1-3 Yrs,Not disclosed,Bangalore/Bengaluru, We are looking for a dynamic Digital Marketing Business Analyst to join our Target Busi...,"['IT Skills', 'Digital Marketing', 'Analytical skills', 'DSP', 'SIDE', 'Web technologies', 'Business Analyst', 'Marketing campaigns']"
190,https://www.naukri.com/job-listings-hiring-salesforce-business-analyst-concentrix-hyderabad-secunderabad-chennai-bangalore-bengaluru-5-to-10-years-160522003861?src=jobsearchDesk&sid=16539119013365353&xp=11&px=10,Hiring Salesforce Business Analyst,Concentrix,5-10 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru", Directs and monitors BA and QA / QC activities to ensure the traceability and optimum c...,"['business analysis', 'Sales', 'IT Skills', 'Testing', 'Cloud', 'Salesforce', 'sales cloud', 'QA/QC']"
191,https://www.naukri.com/job-listings-business-analyst-photon-infotech-p-ltd-remote-1-to-5-years-270522501440?src=jobsearchDesk&sid=16539119013365353&xp=12&px=10,Business Analyst ,Photon Infotech P Ltd,1-5 Yrs,Not disclosed,remote, A minimum of 4 years of experience in business analysis or a related field,"['business analysis', 'Business Analyst', 'Production', 'Management']"
192,https://www.naukri.com/job-listings-ukg-american-product-based-mnc-is-hiring-salesforce-business-analyst-kronos-solutions-india-pvt-ltd-noida-ghaziabad-new-delhi-gurgaon-gurugram-greater-noida-delhi-ncr-3-to-8-years-270522001441?src=jobsearchDesk&sid=16539119013365353&xp=13&px=10,UKG(American product based MNC- )is hiring Salesforce Business Analyst,UKG,3-8 Yrs,Not disclosed,"Noida, Ghaziabad, New Delhi, Gurgaon/Gurugram, Greater Noida, Delhi / NCR"," Salesforce.com experience, including Service Cloud and Community CloudSalesforce Admin ...","['Business Analsyt', 'Salesforce', 'IT Skills', 'Cloud']"
193,https://www.naukri.com/job-listings-business-analyst-payu-india-gurgaon-gurugram-2-to-4-years-250522500624?src=jobsearchDesk&sid=16539119013365353&xp=14&px=10,Business Analyst,PayU,2-4 Yrs,Not disclosed,Gurgaon/Gurugram," A degree in Statistics, Computer Science, Mathematics or other similar quantitative fie...","['Computer science', 'Wealth management', 'Business Analyst', 'Machine learning', 'Manager Technology', 'Stakeholder management', 'Financial services', 'Analytics']"
194,https://www.naukri.com/job-listings-business-analyst-collins-aerospace-hyderabad-secunderabad-2-to-5-years-240522500231?src=jobsearchDesk&sid=16539119013365353&xp=15&px=10,Business Analyst,Collins Aerospace,2-5 Yrs,Not disclosed,Hyderabad/Secunderabad," Essential Job Functions Plans, designs and recommends business processes to improve and...","['Business administration', 'Basic', 'Interpersonal skills', 'Business Analyst', 'MS Visio', 'Business analysis', 'Analytical', 'Test scenarios']"
195,https://www.naukri.com/job-listings-business-analyst-business-analytics-avantor-performance-materials-india-limited-coimbatore-3-to-6-years-190522501889?src=jobsearchDesk&sid=16539119013365353&xp=16&px=10,Business Analyst - Business Analytics,Avantor Performance Materials India Limited,3-6 Yrs,Not disclosed,Coimbatore," Under moderate supervision, responsible for generating metrics and other reports to the...","['Supply chain', 'Manager Internal Audit', 'MS Access', 'MIS', 'Project management', 'Process improvement', 'Pharma', 'Business analytics']"
196,https://www.naukri.com/job-listings-opportunity-business-analyst-aiml-rpa-hcl-technologies-hcl-technologies-limited-noida-delhi-ncr-3-to-5-years-190522009444?src=jobsearchDesk&sid=16539119013365353&xp=17&px=10,Job Opportunity || Business Analyst - AIML/RPA  || HCL Technologies,HCL Technologies,3-5 Yrs,Not disclosed,"Noida(Sector-126 Noida), Delhi / NCR", MBA with graduation in Computer Science / Engineering with 3+ years of professional ser...,"['Use Cases', 'Requirement Gathering', 'business analysis', 'IT Skills', 'Python', 'Machine Learning', 'RPA']"
197,https://www.naukri.com/job-listings-aio-support-business-analyst-bharti-airtel-limited-gurgaon-gurugram-delhi-ncr-1-to-3-years-190522008550?src=jobsearchDesk&sid=16539119013365353&xp=18&px=10,AIO Support - Business Analyst,Bharti Airtel,1-3 Yrs,Not disclosed,"Gurgaon/Gurugram, Delhi / NCR", Doing adhoc business analysis as per business requirement Interaction with cross functi...,"['Excel', 'MS Access', 'SQL', 'Pivot Table', 'Business Analytics', 'VLOOKUP', 'HLOOKUP', 'SQL Server Dba']"
198,https://www.naukri.com/job-listings-business-analyst-olam-information-services-pvt-ltd-chennai-4-to-9-years-180522006591?src=jobsearchDesk&sid=16539119013365353&xp=19&px=10,Business Analyst,Olam Information Services Pvt Ltd,4-9 Yrs,"8,50,000 - 16,00,000 PA.",Chennai, Experience of working within a System Development Lifecycle (SDLC) and Agile project en...,"['JIRA', 'Agile Central', 'Confluence', 'analytical', 'Data Migration analysis', 'Data Analysis', 'System Development Lifecycle', 'Agile']"
199,https://www.naukri.com/job-listings-business-analyst-sas-reporting-consulting-firm-huquo-consulting-pvt-ltd-bangalore-bengaluru-3-to-5-years-300522902624?src=jobsearchDesk&sid=16539119013365353&xp=20&px=10,Business Analyst - SAS/Reporting - Consulting Firm,Huquo Consulting Pvt. Ltd,3-5 Yrs,Not disclosed,Bangalore/Bengaluru," Must have good communication skills, both verbal and written, and demonstrate technical...","['SAS', 'Statistics', 'Analytics', 'Business Analysis', 'SQL']"
