,Link,Name,Location,Price,Sale Price,Description,Discount
22,https://www.oyorooms.com//107974/,Collection O 76989 Paradise Inn,"Altinho, Goa",4852.8,2548,"[' Elevator ', ' Free Wifi ', ' AC ']",47.49%
28,https://www.oyorooms.com//55359/,SPOT ON 36887 PS Guest House,"Opposite Fisherman's Wharf Restaurant, Calangute",2470,1297,"[' AC ', ' TV ', ' Reception ']",47.49%
40,https://www.oyorooms.com//106638/,OYO Flagship 75951 Spacious Studios Anjuna Beach,"Anjuna, Goa",3584.4,1882,"[' Power backup ', ' CCTV Cameras ', ' AC ']",47.49%
80,https://www.oyorooms.com//200/,Townhouse OAK La Casa Siolim,"Siolim Goa 403507, Goa",3791.6,1991,"[' Parking Facility ', ' Reception ', ' Free Wifi ']",47.49%
85,https://www.oyorooms.com//75074/,OYO 46481 Beautiful Studio's,"Near Mac Donald, Santa Inez, Goa",3654.6,1919,"[' Reception ', ' CCTV Cameras ', ' Power backup ']",47.49%
90,https://www.oyorooms.com//43990/,OYO 22418 Frank Rooms,"Near Baga Beach, Baga, Goa",3784.4,1987,"[' Reception ', ' Power backup ', ' 24/7 Checkin ']",47.49%
95,https://www.oyorooms.com//77644/,OYO 48127 Royal Baga,"Near Saunta Vaddo, Calangute-Baga",3856.6,2025,"[' Private Entrance ', ' Parking Facility ', ' Reception ']",47.49%
107,https://www.oyorooms.com//105878/,OYO Flagship 44105 Peaceful Studios Candolim,"Near Swami samarth temple, Candolim, Goa",4587.8,2409,"[' Elevator ', ' Free Wifi ', ' Geyser ']",47.49%
113,https://www.oyorooms.com//111179/,OYO Home 79697 Elegant Studios Near Porvorim,"Aradi Socorro, Goa",4749.8,2494,"[' Parking Facility ', ' Free Wifi ', ' CCTV Cameras ']",47.49%
34,https://www.oyorooms.com//171721/,OYO 86419 Guru Guest House ,"India, Goa",1902,999,"[' Reception ', ' Geyser ', ' Daily Housekeeping ']",47.48%
