,Link,Job Title,Company Name,Salary,Date of Posting
46,https://in.indeed.com/company/Sparkish-Media/jobs/Drone-Operator-121a547105b57db1?fccid=d03fa40fc3248a30&vjs=3,Drone operator,Sparkish Media,"₹9,000 - ₹15,000 a month",Posted30+ days ago
47,https://in.indeed.com/rc/clk?jk=9a30082048cff366&fccid=036c1fc86c433076&vjs=3,Industrial Designer,Glarus Technology,N/A,Posted30+ days ago
48,https://in.indeed.com/company/BIRDSCALE-TECHNOLOGY-AND-SERVICES-PRIVATE-LIMITED/jobs/Project-Manager-dede2876d8f97236?fccid=b3e7f0b8951658dd&vjs=3,Project Manager - Drone Mapping Operations,Birdscale Technology and services private limited,"₹25,000 - ₹35,000 a month",Posted30+ days ago
49,https://in.indeed.com/rc/clk?jk=d4931d7640ebbc4b&fccid=407730861d8f1032&vjs=3,UAV/Drone Systems Engineer,ISPAGRO Robotics,N/A,Posted30+ days ago
50,https://in.indeed.com/rc/clk?jk=3ba324f381caf1b6&fccid=ec47985c3446695d&vjs=3,Analyst I - GIS,Asteria Aerospace,N/A,Posted30+ days ago
51,https://in.indeed.com/company/Join-Botics-Technology-Pvt-Ltd/jobs/Stem-Robotic-Trainer-9c26e189f49badf6?fccid=5075ba256edc03b7&vjs=3,newSTEM/Robotics Trainer,Join Botics Technology Pvt Ltd,"₹15,000 - ₹20,000 a month",Posted30+ days ago
52,https://in.indeed.com/rc/clk?jk=d960c84a01e8dff5&fccid=66c0d03b0a0ef2a6&vjs=3,newSmartgrid Specialist,RTI International,N/A,Posted30+ days ago
53,https://in.indeed.com/rc/clk?jk=7c271d2c0a258c64&fccid=bd8c9e3011816ae8&vjs=3,Radio Telemetrist,RIF Technologies,N/A,Posted30+ days ago
54,https://in.indeed.com/rc/clk?jk=eeab32bfcfdb8fba&fccid=d7d9a8241ba2f3ec&vjs=3,Cloudcraze Engineer,Cargill,N/A,Posted30+ days ago
55,https://in.indeed.com/rc/clk?jk=d6cc199ccdd8dd9d&fccid=d335f90f24fd2fbe&vjs=3,UAV Mechanical Engineer,Soaron Aerospace Innovations,N/A,Posted30+ days ago
56,https://in.indeed.com/company/BIRDSCALE-TECHNOLOGY-AND-SERVICES-PRIVATE-LIMITED/jobs/Data-Processing-Executive-70b1b12dd6f0be2c?fccid=b3e7f0b8951658dd&vjs=3,Data processing Executive- Aerial Photogrammetry / LIDAR,Birdscale Technology and services private limited,"₹25,000 - ₹40,000 a month",Posted30+ days ago
57,https://in.indeed.com/rc/clk?jk=755742d5806744b8&fccid=ec47985c3446695d&vjs=3,Engineer – Integration & Testing,Asteria Aerospace,N/A,Posted30+ days ago
58,https://in.indeed.com/rc/clk?jk=38629a7f7b2724f8&fccid=a62d33647152a1f5&vjs=3,Fixed-Wing Drone Operator,Enercomp Solutions,N/A,Posted30+ days ago
59,https://in.indeed.com/company/CDSpace-Robotics/jobs/Accountant-1615d8d850150392?fccid=f5d4e0152b80e1c8&vjs=3,Accountant,CDspace Robotics Private Limited,"₹15,000 - ₹30,000 a month",Posted30+ days ago
